"PSPath" "PSParentPath" "PSChildName" "PSDrive" "PSProvider" "ReadCount" "Length"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "1" "54"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "2" "48"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "3" "64"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "4" "43"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "5" "46"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "6" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "7" "51"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "8" "54"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "9" "53"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "10" "43"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "11" "43"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "12" "52"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "13" "50"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "14" "57"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "15" "57"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "16" "45"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "17" "48"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "18" "51"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "19" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "20" "58"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "21" "46"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "22" "48"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "23" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "24" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "25" "53"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "26" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "27" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "28" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "29" "56"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "30" "48"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "31" "43"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "32" "51"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "33" "47"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "34" "49"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "35" "50"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "36" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "37" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "38" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "39" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "40" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "41" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "42" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "43" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "44" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "45" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "46" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "47" "0"
"C:\Users\micha\POSH\PowerShell\Stop-W10Serv.txt" "C:\Users\micha\POSH\PowerShell" "Stop-W10Serv.txt" "C" "Microsoft.PowerShell.Core\FileSystem" "48" "0"
